country_iso3,country_name,country_name_ja,title,summary,background,impact,future,detail,related_countries,impact_summary,category,event_date,source_name,source_url,importance
QAT,Qatar,カタール,カタールとアメリカ首脳の電話会談,アメリカとイランの停戦合意の進展について協議が行われる。カタールはパキスタン主導の仲介を支えるため、関係国との調整を続ける考えを示した。,カタールは中東でアメリカやイランとの対話ルートを持ち、過去にも紛争の仲介役を担ってきた。,,今後の焦点は、パキスタン主導の仲介がアメリカとイランの直接対話につながるか、停戦をどこまで維持できるかと言える。,,USA,カタールの関与は、中東危機を軍事衝突から外交協議へ戻すうえで重要となる。停戦が保たれれば原油輸送や金融市場の不安は和らぐが、協議が崩れればホルムズ海峡周辺の緊張が再燃する。,外交,2026/4/24,Reuters,https://www.reuters.com/world/asia-pacific/qatar-emir-trump-discuss-washington-tehran-ceasefire-2026-04-24/,3
TUR,Türkiye,トルコ,トルコにて15歳未満のSNS利用を禁止する法律が可決される,トルコにて15歳未満の子どもによるSNS利用を禁じる法律が可決された。年齢確認が義務づけられ、ゲーム会社も規制対象に加えられる。,各国で子どものネット依存や有害情報への接触を防ぐ規制が広がるなか、トルコもSNS等への管理責任を強めた形。,,実効性のある年齢確認を各社が導入できるか否かが焦点。個人情報保護や表現の自由とのバランスも問われる。,,,今回の規制は、子どもの安全を守る一方で、SNSやゲーム企業に大きな対応負担を求める。世界的に未成年のネット利用規制が強まれば、日本でも年齢確認等の議論が進む可能性がある。,国内政治,2026/4/23,Reuters,https://www.reuters.com/business/media-telecom/turkey-passes-law-banning-social-media-use-under-15s-2026-04-24/,1
USA,America,アメリカ,イスラエルとレバノンの停戦が3週間延長される,トランプ大統領は、アメリカの仲介でレバノンとイスラエルが停戦を3週間延長したと発表した。前日にはイスラエル軍の攻撃で記者を含む死者が出ており、南部では未だに衝突が続いている。,レバノン南部ではイスラエル軍とヒズボラの戦闘が続いている。アメリカはレバノン政府を支える姿勢を示し、ヒズボラの武装解除を促している。,,イスラエル軍の撤退や国境協議が進むかが焦点。ヒズボラが直接協議に反発しており、停戦維持はなお不安定といえる。,,LBN;ISR,停戦延長は中東紛争の拡大を抑えるよいニュースだが、レバノン南部で攻撃が続けば再燃の可能性は高い。レバノンの安定は難民や海上交通、エネルギー市場にも関わる。,外交,2026/4/23,Reuters,https://www.reuters.com/world/middle-east/lebanon-seek-ceasefire-extension-us-hosted-talks-with-israel-2026-04-23/,5
IRN,Iran,イラン,イランがコンテナ船2隻を拿捕したと発表,イラン政府は、ホルムズ海峡から湾外へ出ようとしたコンテナ船2隻を拿捕したと発表。別の1隻も銃撃を受けたが航行を続け、各船の乗組員は安全とされる。,ホルムズ海峡は世界の石油やガス輸送の要衝で、アメリカとイスラエルとの戦争後、イランは通航制限を強めている。,,拿捕された船と乗組員の解放交渉の進展、革命防衛隊の更なる航行制限、アメリカの海上封鎖との衝突リスクが今後の焦点と言える,,USA,ホルムズ海峡の不安定化は、原油や液化天然ガスの供給不安を直接高める。通航量が減れば運賃や保険料、燃料価格が上がりやすい。,紛争,2026/4/22,Reuters,https://www.reuters.com/world/europe/three-vessels-hit-by-gunfire-strait-hormuz-crews-safe-2026-04-22/,4
LBN,Lebanon,レバノン,ヒズボラが停戦協定違反を理由にイスラエルを攻撃,ヒズボラは、イスラエルが停戦に違反したとしてイスラエル北部へロケット弾や無人機を発射。イスラエル軍は報復として空爆を実施し、南レバノンでの駐留継続とヒズボラ武装解除の方針を示した。,アメリカの仲介による停戦後も、イスラエル軍はレバノン南部の緩衝地帯に駐留している。ヒズボラ側はこれを占領とみなして反発。,,アメリカ主導の停戦協議が今後も続くか、イスラエル軍の撤退やヒズボラの武装解除が合意に至るか否かが注目と言える。,,ISR;USA,停戦下での攻撃再開は、イスラエルとレバノンの衝突が再び広がる危険を示す。中東全体の緊張が高まれば、アメリカとイランとの協議や原油市場にも波及しやすい。,紛争,2026/4/21,Reuters,https://www.reuters.com/world/middle-east/israel-will-face-resistance-if-troops-stay-in-lebanon-speaker-berri-says-2026-04-21/,4
NGA,Nigeria,ナイジェリア,ナイジェリアにて新たな財務大臣が任命される,ナイジェリアにて小規模な内閣改造が行われ、オイェデレ氏が新たな財務大臣に起用された。同氏はこれまで財務担当国務相を務めていた。,ナイジェリアは通貨安や物価高、財政改革への不満を抱え、経済運営の立て直しが急務となっている。,,,,,アフリカ最大級の経済規模を持つナイジェリアの財政運営は、原油市場や新興国投資に影響する。改革が進めば投資環境の改善につながるが、物価高対策が遅れれば社会不安が強まり得る。,国内政治,2026/4/21,Reuters,https://www.reuters.com/world/africa/nigerias-president-names-taiwo-oyedele-new-finance-minister-2026-04-21/,1
BRA,Brazil,ブラジル,ブラジルがアメリカの移民局職員の資格を取り消す,ブラジル連邦警察は、アメリカの移民当局者の活動資格を取り消した。アメリカがマイアミ駐在のブラジル治安担当官に退去を求めたことへの対抗措置だとしている。,アメリカの移民当局が、ボルソナロ元大統領に近い元議員を一時拘束したこともあり、両国の法執行協力に緊張が生じている。,,アメリカがブラジル側の説明要求に応じるか、外交官や治安当局者をめぐる相互措置がさらに広がるかが懸念と言える,,USA,アメリカとブラジルの対立は、移民管理や犯罪捜査での情報共有を滞らせるおそれがある。南米最大国との関係悪化は、アメリカの外交や通商にも影響し得る。,外交,2026/4/22,Reuters,https://www.reuters.com/world/americas/brazil-revokes-credentials-us-immigration-officer-federal-police-chief-says-2026-04-22/,3
RUS,Russian Federation,ロシア,ロシア議会の議長が北朝鮮を訪問,ロシア下院のボロジン議長が北朝鮮兵を訪問。北朝鮮はロシア軍を支援するため、推計1万4000人の兵士を送ったとされる。,ロシアと北朝鮮は2024年に相互防衛を含む条約を結び、外交や軍事の結びつきを急速に強めてきた。,,,,PRK,ロシアと北朝鮮の軍事協力は、ウクライナ戦争の長期化だけでなく、東アジアの安全保障にも直結する。北朝鮮が実戦経験やロシアの技術支援を得れば、ミサイルや通常戦力の脅威が高まるおそれがある。日本にとっては防衛態勢や対露朝制裁の重要性が増す。,外交,2026/4/25,Reuters,https://www.reuters.com/business/aerospace-defense/russian-parliament-speaker-north-korea-mark-pyongyangs-troop-deployment-ukraine-2026-04-25/,2
PHL,Philippines,フィリピン,ドゥテルテ元大統領が殺人罪で正式に訴追へ,国際刑事裁判所はフィリピンのドゥテルテ元大統領に対し、人道に対する罪としての殺人容疑で正式裁判に進めると判断した。麻薬犯罪対策を名目に多数の市民が殺害された事件が対象となる。,ドゥテルテ氏は大統領就任中、強硬な麻薬取締りを進めた。検察側は国家ぐるみの殺害計画があったと主張している。,,焦点は裁判開始時期と、弁護側が健康状態や管轄権を理由に争い続けるかと言える。,,,元首脳が国際法廷で裁かれることは、東南アジアの人権問題や治安政策に大きな意味を持つ。フィリピン国内では支持派と被害者側の対立が続き、マルコス政権の司法協力も問われる。,外交,2026/4/23,Reuters,https://www.reuters.com/world/asia-pacific/icc-confirms-trial-against-former-philippine-president-duterte-2026-04-23/,3
KOR,Korea,韓国,韓国大統領のベトナム訪問,韓国の李在明大統領がベトナムを訪問。技術、エネルギー、インフラ分野で73件の事業合意に署名した。液化天然ガス発電やデータセンター、半導体協力も含まれる。,韓国はベトナム最大の投資国で、現地工場は輸出の3割超を担う。一方で規制や賃上げで投資環境への不安も残る。,,今回の合意が実際の投資に進むかが今後の焦点と言える。原発、半導体、鉄道などの大型案件で韓国企業がどこまで参入できるかが注目される。,,VNM,韓国とベトナムの連携強化は、東南アジアの供給網再編を進める材料となる。半導体やデータセンター投資が進めば中国依存の分散につながる一方、企業間の誘致競争も強まる。,外交,2026/4/23,Reuters,https://www.reuters.com/world/asia-pacific/south-korea-vietnam-set-sign-dozens-business-deals-lee-visits-hanoi-2026-04-23/,3
DEU,Germany,ドイツ,ドイツ極右政党「ドイツのための選択肢」が世論調査で支持率過去最高に,極右政党「ドイツのための選択肢」の支持率が過去最高の28％に上がった。メルツ首相率いる保守政党は24％で、同党に4ポイント差をつけられた。,ドイツでは、移民、物価、治安への不満が強まり、既成政党への不信が右派政党の支持拡大につながっている。,,既成政党がAfDとの協力拒否を続ける場合、政権づくりは三党連立に限られ、政策決定がさらに難しくなる。,,,ドイツで右派政党の勢いが強まれば、EUの移民政策、対ウクライナ支援、財政運営に影響する。欧州最大級の経済国の政治不安は市場にも波及し、日本企業にとっても欧州投資や規制対応の見通しを読みにくくする。,国内政治,2026/4/25,Reuters,https://www.reuters.com/world/germanys-far-right-afd-rises-record-28-insa-poll-shows-2026-04-25/,4
UKR,Ukraine,ウクライナ,ゼレンスキー大統領のサウジ訪問,ウクライナのゼレンスキー大統領がサウジアラビアを訪問し、ムハンマド皇太子と会談。防衛、エネルギー、食料安全保障で協力を広げることが目指される。,ウクライナはロシアの攻撃で培った無人機対策や防空技術を、中東諸国との協力に生かそうとしている。,,3月に締結された防衛協力の枠組みが具体的な契約に進むかが焦点。ホルムズ海峡の航行安全への関与も注目される。,,SAU,ウクライナとサウジアラビアの接近は、ロシアとの戦争だけでなく中東の安全保障にも関わる。防空や無人機対策の協力が進めば湾岸諸国の防衛力強化につながる一方、地域の軍拡競争を刺激する面もある。,外交,2026/4/24,Reuters,https://www.reuters.com/world/middle-east/zelenskiy-arrives-saudi-arabia-seeking-security-cooperation-2026-04-24/,4
USA,America,アメリカ,米国務省がオランダへのミサイル売却を承認,米国務省はオランダへミサイル530発を最大2億ドルで売却する案を承認した。,欧州ではロシアへの警戒が続き、各国が攻撃用ミサイルや防空装備の調達を急いでいる。,,アメリカ議会の手続きが円滑に進むかと、最終契約の成立可否が焦点。そのほか、オランダ軍が無人機やヘリ運用でどこまで即応力を高めるかも注目される。,,NLD,オランダのミサイル調達は、欧州が米国製装備を使って対ロシア抑止を強める流れの一部と言える。欧州の防衛需要が増えれば米国の軍需産業は追い風を受ける一方、装備品の供給競争も強まる。,外交,2026/4/22,Reuters,https://www.reuters.com/business/aerospace-defense/us-approves-potential-200-million-sale-hellfire-missiles-netherlands-2026-04-22/,3
EU,EU,欧州連合,EUがロシアの2団体へ制裁を課す,ロシアの宣伝や偽情報に関わったとして、EUはロシアの2つの団体へ制裁を科した。資産凍結と資金提供禁止が適用される。,EUはロシアのプロパガンダで加盟国の世論や選挙を揺さぶっているとみて、関連組織への圧力を強めている。,,ロシア側が別の媒体や団体を通じて発信を続ける懸念が続く。,,RUS,今回の制裁は、軍事だけでなく情報空間も欧州の安全保障問題になっていることを示す。偽情報対策が強まれば、報道やSNSへの監視も広がる。,外交,2026/4/21,Reuters,https://www.reuters.com/world/eu-imposes-sanctions-two-russian-entities-it-says-are-linked-disinformation-2026-04-21/,3
JPN,Japan,日本,日本が防衛産業の輸出規制見直しを発表,日本政府は防衛装備の輸出規則を数十年ぶりに大きく見直し、軍艦やミサイルなどの海外販売に道を開いた。中国を念頭に防衛産業を強め、フィリピンなど友好国との協力を広げる狙いがある。,日本は戦後、武器輸出を厳しく制限してきたが、中国の軍事拡大や米国の供給力不足を受け、規制緩和に踏み切った。,,中国の反発や第三国移転の管理が課題になりうる。,,,規則緩和は日本の防衛産業に新たな市場を開き、量産によるコスト低下や危機時の供給力強化につながる。東南アジアへの装備供給が進めば、中国抑止に寄与する反面、地域の軍事的緊張を高める懸念もある。,国内政治,2026/4/21,Reuters,https://www.reuters.com/world/china/japan-opens-door-global-arms-market-with-biggest-export-rule-change-decades-2026-04-21/,5
